year,airport,line,flightplan,flight,weather,A/Caccess,A/Crepair,etc
2016,CJJ,D,12900,12738,149,12,0,1
2016,CJJ,I,3327,3305,18,3,0,1
2016,CJU,D,153417,151127,1508,417,89,276
2016,CJU,I,18543,18250,232,33,7,21
2016,GMP,D,126309,124177,1309,465,102,256
2016,GMP,I,20477,20451,13,6,6,1
2016,HIN,D,1884,1822,59,3,0,0
2016,KPO,D,962,902,57,3,0,0
2016,KUV,D,1461,1426,30,1,0,4
2016,KWJ,D,10912,10769,110,29,3,1
2016,MWX,D,722,715,7,0,0,0
2016,MWX,I,842,841,0,0,1,0
2016,PUS,D,46593,45944,421,206,14,8
2016,PUS,I,52146,51946,129,53,13,5
2016,RSU,D,4913,4803,89,19,2,0
2016,TAE,D,11939,11842,84,12,0,1
2016,TAE,I,3666,3659,6,1,0,0
2016,USN,D,5075,4889,130,56,0,0
2016,WJU,D,731,699,31,0,0,1
2016,YNY,D,2,2,0,0,0,0
2016,YNY,I,100,98,2,0,0,0
